Id2,Geography,Total; Estimate; Total population,Male; Estimate; Total population,Female; Estimate; Total population
1,Alabama,4849377,2347969,2501408
2,Alaska,736732,385582,351150
4,Arizona,6731484,3342946,3388538
5,Arkansas,2966369,1456778,1509591
6,California,38802500,19264457,19538043
8,Colorado,5355866,2692599,2663267
9,Connecticut,3596677,1754116,1842561
10,Delaware,935614,454005,481609
11,District of Columbia,658893,312633,346260
12,Florida,19893297,9722228,10171069
13,Georgia,10097343,4921939,5175404
15,Hawaii,1419561,717313,702248
16,Idaho,1634464,817050,817414
17,Illinois,12880580,6320605,6559975
18,Indiana,6596855,3243979,3352876
19,Iowa,3107126,1544801,1562325
20,Kansas,2904021,1444945,1459076
21,Kentucky,4413457,2174158,2239299
22,Louisiana,4649676,2272116,2377560
23,Maine,1330089,647622,682467
24,Maryland,5976407,2896033,3080374
25,Massachusetts,6745408,3269679,3475729
26,Michigan,9909877,4865257,5044620
27,Minnesota,5457173,2712823,2744350
28,Mississippi,2994079,1457828,1536251
29,Missouri,6063589,2970513,3093076
30,Montana,1023579,513409,510170
31,Nebraska,1881503,936197,945306
32,Nevada,2839099,1426744,1412355
33,New Hampshire,1326813,654814,671999
34,New Jersey,8938175,4363391,4574784
35,New Mexico,2085572,1032779,1052793
36,New York,19746227,9574309,10171918
37,North Carolina,9943964,4842403,5101561
38,North Dakota,739482,376324,363158
39,Ohio,11594163,5676586,5917577
40,Oklahoma,3878051,1920562,1957489
41,Oregon,3970239,1964293,2005946
42,Pennsylvania,12787209,6253250,6533959
44,Rhode Island,1055173,511650,543523
45,South Carolina,4832482,2351359,2481123
46,South Dakota,853175,427381,425794
47,Tennessee,6549352,3190199,3359153
48,Texas,26956958,13384317,13572641
49,Utah,2942902,1479527,1463375
50,Vermont,626562,308516,318046
51,Virginia,8326289,4092671,4233618
53,Washington,7061530,3529597,3531933
54,West Virginia,1850326,914686,935640
55,Wisconsin,5757564,2857982,2899582
56,Wyoming,584153,297181,286972
72,Puerto Rico,3548397,1704416,1843981
